instance_id,seed,best_objective,runtime,algorithm_name,deadline,param_max_evaluations,param_seed,param_time_limit,param_max_iterations,param_elite_size,param_path_strategy,param_selection_strategy,param_use_local_search,param_local_search_eval_limit
J90_1.RCP,1,224.5805301848964,0.357133150100708,PR_forward_random_two_withLS,67,1000,1,60.0,100,10,forward,random_two,True,50
J90_1.RCP,0,235.71485854310535,0.07170414924621582,PR_forward_random_two_noLS,67,1000,0,60.0,100,10,forward,random_two,False,50
J90_1.RCP,1,186.69993316997105,0.07323694229125977,PR_forward_random_two_noLS,67,1000,1,60.0,100,10,forward,random_two,False,50
J90_1.RCP,0,288.879037647583,0.3477969169616699,PR_backward_best_withLS,67,1000,0,60.0,100,10,backward,best,True,50
J90_1.RCP,1,208.07306749832927,0.3494579792022705,PR_backward_best_withLS,67,1000,1,60.0,100,10,backward,best,True,50
J90_1.RCP,0,193.68500779683671,0.1608121395111084,PR_backward_best_noLS,67,1000,0,60.0,100,10,backward,best,False,50
J90_1.RCP,1,212.28202272220983,0.11300516128540039,PR_backward_best_noLS,67,1000,1,60.0,100,10,backward,best,False,50
J90_1.RCP,0,222.67008242370235,0.3481929302215576,PR_backward_random_two_withLS,67,1000,0,60.0,100,10,backward,random_two,True,50
J90_1.RCP,1,175.71485854310538,0.3495609760284424,PR_backward_random_two_withLS,67,1000,1,60.0,100,10,backward,random_two,True,50
J90_1.RCP,0,194.96858988638894,0.07358002662658691,PR_backward_random_two_noLS,67,1000,0,60.0,100,10,backward,random_two,False,50
J90_1.RCP,1,175.50590331922479,0.07647085189819336,PR_backward_random_two_noLS,67,1000,1,60.0,100,10,backward,random_two,False,50
J90_2.RCP,0,156.66606404958677,0.34879016876220703,PR_forward_best_withLS,88,1000,0,60.0,100,10,forward,best,True,50
J90_2.RCP,1,116.34788223140495,0.34830212593078613,PR_forward_best_withLS,88,1000,1,60.0,100,10,forward,best,True,50
J90_2.RCP,0,139.98424586776858,0.12590289115905762,PR_forward_best_noLS,88,1000,0,60.0,100,10,forward,best,False,50
J90_2.RCP,1,116.71151859504131,0.1165919303894043,PR_forward_best_noLS,88,1000,1,60.0,100,10,forward,best,False,50
J90_2.RCP,0,140.02970041322314,0.34952592849731445,PR_forward_random_two_withLS,88,1000,0,60.0,100,10,forward,random_two,True,50
J90_2.RCP,1,119.84788223140495,0.34846019744873047,PR_forward_random_two_withLS,88,1000,1,60.0,100,10,forward,random_two,True,50
J90_2.RCP,0,134.59788223140495,0.07150793075561523,PR_forward_random_two_noLS,88,1000,0,60.0,100,10,forward,random_two,False,50
J90_2.RCP,1,117.75697314049586,0.07089495658874512,PR_forward_random_two_noLS,88,1000,1,60.0,100,10,forward,random_two,False,50
J90_2.RCP,0,137.91606404958677,0.3481128215789795,PR_backward_best_withLS,88,1000,0,60.0,100,10,backward,best,True,50
J90_2.RCP,1,134.1433367768595,0.34756898880004883,PR_backward_best_withLS,88,1000,1,60.0,100,10,backward,best,True,50
J90_2.RCP,0,141.27970041322314,0.11856794357299805,PR_backward_best_noLS,88,1000,0,60.0,100,10,backward,best,False,50
J90_2.RCP,1,138.57515495867767,0.10962677001953125,PR_backward_best_noLS,88,1000,1,60.0,100,10,backward,best,False,50
J90_2.RCP,0,132.12060950413223,0.3498690128326416,PR_backward_random_two_withLS,88,1000,0,60.0,100,10,backward,random_two,True,50
J90_2.RCP,1,116.66606404958678,0.3555619716644287,PR_backward_random_two_withLS,88,1000,1,60.0,100,10,backward,random_two,True,50
J90_2.RCP,0,138.27970041322314,0.07428979873657227,PR_backward_random_two_noLS,88,1000,0,60.0,100,10,backward,random_two,False,50
J90_2.RCP,1,115.6433367768595,0.07496500015258789,PR_backward_random_two_noLS,88,1000,1,60.0,100,10,backward,random_two,False,50
j120_1.rcp,0,247.5824915824916,0.4598991870880127,PR_forward_best_withLS,99,1000,0,60.0,100,10,forward,best,True,50
j120_1.rcp,1,262.976430976431,0.5359170436859131,PR_forward_best_withLS,99,1000,1,60.0,100,10,forward,best,True,50
j120_1.rcp,0,250.51178451178453,0.17947697639465332,PR_forward_best_noLS,99,1000,0,60.0,100,10,forward,best,False,50
j120_1.rcp,1,211.3602693602694,0.24491310119628906,PR_forward_best_noLS,99,1000,1,60.0,100,10,forward,best,False,50
j120_1.rcp,0,228.71380471380473,0.4825279712677002,PR_forward_random_two_withLS,99,1000,0,60.0,100,10,forward,random_two,True,50
j120_1.rcp,1,255.15824915824913,0.5864791870117188,PR_forward_random_two_withLS,99,1000,1,60.0,100,10,forward,random_two,True,50
j120_1.rcp,0,182.61279461279466,0.22898578643798828,PR_forward_random_two_noLS,99,1000,0,60.0,100,10,forward,random_two,False,50
j120_1.rcp,1,232.95622895622895,0.12200307846069336,PR_forward_random_two_noLS,99,1000,1,60.0,100,10,forward,random_two,False,50
j120_1.rcp,0,236.53198653198658,0.5036380290985107,PR_backward_best_withLS,99,1000,0,60.0,100,10,backward,best,True,50
j120_1.rcp,1,280.5319865319865,0.5105819702148438,PR_backward_best_withLS,99,1000,1,60.0,100,10,backward,best,True,50
j120_1.rcp,0,236.35016835016836,0.18321704864501953,PR_backward_best_noLS,99,1000,0,60.0,100,10,backward,best,False,50
j120_1.rcp,1,234.7542087542088,0.24977898597717285,PR_backward_best_noLS,99,1000,1,60.0,100,10,backward,best,False,50
j120_1.rcp,0,235.36026936026934,0.6117269992828369,PR_backward_random_two_withLS,99,1000,0,60.0,100,10,backward,random_two,True,50
j120_1.rcp,1,191.92592592592595,0.5974009037017822,PR_backward_random_two_withLS,99,1000,1,60.0,100,10,backward,random_two,True,50
j120_1.rcp,0,203.64309764309766,0.11545300483703613,PR_backward_random_two_noLS,99,1000,0,60.0,100,10,backward,random_two,False,50
j120_1.rcp,1,208.81481481481484,0.11695599555969238,PR_backward_random_two_noLS,99,1000,1,60.0,100,10,backward,random_two,False,50
