instance_id,seed,best_objective,runtime,algorithm_name,deadline,param_max_evaluations,param_seed,param_population_size,param_time_limit,param_w,param_c1,param_c2,param_local_search_strategy,param_restart_strategy,param_restart_threshold,param_sa_initial_temp,param_sa_final_temp,param_sa_cooling_rate,param_f_min,param_f_max,param_A0,param_r0,param_alpha,param_gamma,param_local_search_interval,param_hm_size,param_hmcr,param_par,param_bw,param_par_min,param_par_max,param_bw_min,param_bw_max,param_parameter_strategy,param_initialization_strategy
J30_4.RCP,0,61.623140495867766,0.35726118087768555,PSO_shift_none,55,1000,0,50.0,60.0,0.729,1.49445,1.49445,shift,none,30.0,80.0,0.01,0.9,,,,,,,,,,,,,,,,,
J30_4.RCP,1,52.786776859504144,0.3606600761413574,PSO_shift_none,55,1000,1,50.0,60.0,0.729,1.49445,1.49445,shift,none,30.0,80.0,0.01,0.9,,,,,,,,,,,,,,,,,
J30_4.RCP,0,61.623140495867766,0.355726957321167,PSO_shift_adaptive,55,1000,0,50.0,60.0,0.729,1.49445,1.49445,shift,adaptive,30.0,80.0,0.01,0.9,,,,,,,,,,,,,,,,,
J30_4.RCP,1,52.786776859504144,0.3515162467956543,PSO_shift_adaptive,55,1000,1,50.0,60.0,0.729,1.49445,1.49445,shift,adaptive,30.0,80.0,0.01,0.9,,,,,,,,,,,,,,,,,
J30_4.RCP,0,55.877685950413216,0.2731778621673584,BA_none,55,1000,0,50.0,60.0,,,,none,,,,,,0.0,2.0,1.0,0.5,0.9,0.9,10.0,,,,,,,,,,
J30_4.RCP,1,56.8595041322314,0.28420495986938477,BA_none,55,1000,1,50.0,60.0,,,,none,,,,,,0.0,2.0,1.0,0.5,0.9,0.9,10.0,,,,,,,,,,
J30_4.RCP,0,52.93223140495868,0.19964909553527832,BA_tlim,55,1000,0,50.0,60.0,,,,tlim,,,,,,0.0,2.0,1.0,0.5,0.9,0.9,10.0,,,,,,,,,,
J30_4.RCP,1,50.24132231404958,0.20299792289733887,BA_tlim,55,1000,1,50.0,60.0,,,,tlim,,,,,,0.0,2.0,1.0,0.5,0.9,0.9,10.0,,,,,,,,,,
J30_4.RCP,0,59.1504132231405,0.299454927444458,HS_fixed_random,55,1000,0,,60.0,,,,,,,,,,,,,,,,,50.0,0.9,0.3,2.0,0.1,0.9,1.0,5.0,fixed,random
J30_4.RCP,1,62.82314049586776,0.3381471633911133,HS_fixed_random,55,1000,1,,60.0,,,,,,,,,,,,,,,,,50.0,0.9,0.3,2.0,0.1,0.9,1.0,5.0,fixed,random
J30_4.RCP,0,54.96859504132231,0.29611968994140625,HS_fixed_forward,55,1000,0,,60.0,,,,,,,,,,,,,,,,,50.0,0.9,0.3,2.0,0.1,0.9,1.0,5.0,fixed,forward
J30_4.RCP,1,55.077685950413226,0.40413403511047363,HS_fixed_forward,55,1000,1,,60.0,,,,,,,,,,,,,,,,,50.0,0.9,0.3,2.0,0.1,0.9,1.0,5.0,fixed,forward
J30_4.RCP,0,56.67768595041323,0.3384130001068115,HS_adaptive_random,55,1000,0,,60.0,,,,,,,,,,,,,,,,,50.0,0.9,0.3,2.0,0.1,0.9,1.0,5.0,adaptive,random
J30_4.RCP,1,61.58677685950413,0.31215405464172363,HS_adaptive_random,55,1000,1,,60.0,,,,,,,,,,,,,,,,,50.0,0.9,0.3,2.0,0.1,0.9,1.0,5.0,adaptive,random
J30_4.RCP,0,58.53223140495867,0.30893373489379883,HS_adaptive_forward,55,1000,0,,60.0,,,,,,,,,,,,,,,,,50.0,0.9,0.3,2.0,0.1,0.9,1.0,5.0,adaptive,forward
J30_4.RCP,1,58.49586776859503,0.30973386764526367,HS_adaptive_forward,55,1000,1,,60.0,,,,,,,,,,,,,,,,,50.0,0.9,0.3,2.0,0.1,0.9,1.0,5.0,adaptive,forward
J60_1.RCP,0,83.82391634339685,0.6643450260162354,PSO_none_none,77,1000,0,50.0,60.0,0.729,1.49445,1.49445,none,none,30.0,80.0,0.01,0.9,,,,,,,,,,,,,,,,,
J60_1.RCP,1,75.51222803170855,0.6607091426849365,PSO_none_none,77,1000,1,50.0,60.0,0.729,1.49445,1.49445,none,none,30.0,80.0,0.01,0.9,,,,,,,,,,,,,,,,,
J60_1.RCP,0,83.82391634339685,0.6605989933013916,PSO_none_adaptive,77,1000,0,50.0,60.0,0.729,1.49445,1.49445,none,adaptive,30.0,80.0,0.01,0.9,,,,,,,,,,,,,,,,,
J60_1.RCP,1,75.51222803170855,0.6698379516601562,PSO_none_adaptive,77,1000,1,50.0,60.0,0.729,1.49445,1.49445,none,adaptive,30.0,80.0,0.01,0.9,,,,,,,,,,,,,,,,,
J60_1.RCP,0,83.82391634339685,0.6608152389526367,PSO_shift_none,77,1000,0,50.0,60.0,0.729,1.49445,1.49445,shift,none,30.0,80.0,0.01,0.9,,,,,,,,,,,,,,,,,
J60_1.RCP,1,75.51222803170855,0.6754331588745117,PSO_shift_none,77,1000,1,50.0,60.0,0.729,1.49445,1.49445,shift,none,30.0,80.0,0.01,0.9,,,,,,,,,,,,,,,,,
J60_1.RCP,0,83.82391634339685,0.671288013458252,PSO_shift_adaptive,77,1000,0,50.0,60.0,0.729,1.49445,1.49445,shift,adaptive,30.0,80.0,0.01,0.9,,,,,,,,,,,,,,,,,
J60_1.RCP,1,75.51222803170855,0.6624612808227539,PSO_shift_adaptive,77,1000,1,50.0,60.0,0.729,1.49445,1.49445,shift,adaptive,30.0,80.0,0.01,0.9,,,,,,,,,,,,,,,,,
J60_1.RCP,0,74.23950075898128,0.5119202136993408,BA_none,77,1000,0,50.0,60.0,,,,none,,,,,,0.0,2.0,1.0,0.5,0.9,0.9,10.0,,,,,,,,,,
J60_1.RCP,1,92.21352673300726,0.5197739601135254,BA_none,77,1000,1,50.0,60.0,,,,none,,,,,,0.0,2.0,1.0,0.5,0.9,0.9,10.0,,,,,,,,,,
J60_1.RCP,0,62.83690335638387,0.3781309127807617,BA_tlim,77,1000,0,50.0,60.0,,,,tlim,,,,,,0.0,2.0,1.0,0.5,0.9,0.9,10.0,,,,,,,,,,
J60_1.RCP,1,84.13560465508517,0.37808990478515625,BA_tlim,77,1000,1,50.0,60.0,,,,tlim,,,,,,0.0,2.0,1.0,0.5,0.9,0.9,10.0,,,,,,,,,,
J60_1.RCP,0,84.60313712261764,0.5476598739624023,HS_fixed_random,77,1000,0,,60.0,,,,,,,,,,,,,,,,,50.0,0.9,0.3,2.0,0.1,0.9,1.0,5.0,fixed,random
J60_1.RCP,1,86.78495530443583,0.5486469268798828,HS_fixed_random,77,1000,1,,60.0,,,,,,,,,,,,,,,,,50.0,0.9,0.3,2.0,0.1,0.9,1.0,5.0,fixed,random
J60_1.RCP,0,92.31742283690336,0.5457730293273926,HS_fixed_forward,77,1000,0,,60.0,,,,,,,,,,,,,,,,,50.0,0.9,0.3,2.0,0.1,0.9,1.0,5.0,fixed,forward
J60_1.RCP,1,82.62911114859166,0.5448110103607178,HS_fixed_forward,77,1000,1,,60.0,,,,,,,,,,,,,,,,,50.0,0.9,0.3,2.0,0.1,0.9,1.0,5.0,fixed,forward
J60_1.RCP,0,90.966773486254,0.5831611156463623,HS_adaptive_random,77,1000,0,,60.0,,,,,,,,,,,,,,,,,50.0,0.9,0.3,2.0,0.1,0.9,1.0,5.0,adaptive,random
J60_1.RCP,1,83.3563838758644,0.5806310176849365,HS_adaptive_random,77,1000,1,,60.0,,,,,,,,,,,,,,,,,50.0,0.9,0.3,2.0,0.1,0.9,1.0,5.0,adaptive,random
J60_1.RCP,0,85.4602799797605,0.5803208351135254,HS_adaptive_forward,77,1000,0,,60.0,,,,,,,,,,,,,,,,,50.0,0.9,0.3,2.0,0.1,0.9,1.0,5.0,adaptive,forward
J60_1.RCP,1,84.88885140833193,0.5780491828918457,HS_adaptive_forward,77,1000,1,,60.0,,,,,,,,,,,,,,,,,50.0,0.9,0.3,2.0,0.1,0.9,1.0,5.0,adaptive,forward
J60_2.RCP,0,103.80639053254438,0.6604537963867188,PSO_none_none,65,1000,0,50.0,60.0,0.729,1.49445,1.49445,none,none,30.0,80.0,0.01,0.9,,,,,,,,,,,,,,,,,
J60_2.RCP,1,92.94485207100591,0.6631631851196289,PSO_none_none,65,1000,1,50.0,60.0,0.729,1.49445,1.49445,none,none,30.0,80.0,0.01,0.9,,,,,,,,,,,,,,,,,
J60_2.RCP,0,103.80639053254438,0.664478063583374,PSO_none_adaptive,65,1000,0,50.0,60.0,0.729,1.49445,1.49445,none,adaptive,30.0,80.0,0.01,0.9,,,,,,,,,,,,,,,,,
J60_2.RCP,1,92.94485207100591,0.6621649265289307,PSO_none_adaptive,65,1000,1,50.0,60.0,0.729,1.49445,1.49445,none,adaptive,30.0,80.0,0.01,0.9,,,,,,,,,,,,,,,,,
J60_2.RCP,0,103.80639053254438,0.6679458618164062,PSO_shift_none,65,1000,0,50.0,60.0,0.729,1.49445,1.49445,shift,none,30.0,80.0,0.01,0.9,,,,,,,,,,,,,,,,,
J60_2.RCP,1,92.94485207100591,0.659843921661377,PSO_shift_none,65,1000,1,50.0,60.0,0.729,1.49445,1.49445,shift,none,30.0,80.0,0.01,0.9,,,,,,,,,,,,,,,,,
J60_2.RCP,0,103.80639053254438,0.6601181030273438,PSO_shift_adaptive,65,1000,0,50.0,60.0,0.729,1.49445,1.49445,shift,adaptive,30.0,80.0,0.01,0.9,,,,,,,,,,,,,,,,,
J60_2.RCP,1,92.94485207100591,0.6634249687194824,PSO_shift_adaptive,65,1000,1,50.0,60.0,0.729,1.49445,1.49445,shift,adaptive,30.0,80.0,0.01,0.9,,,,,,,,,,,,,,,,,
J60_2.RCP,0,131.59100591715978,0.5204448699951172,BA_none,65,1000,0,50.0,60.0,,,,none,,,,,,0.0,2.0,1.0,0.5,0.9,0.9,10.0,,,,,,,,,,
J60_2.RCP,1,99.86792899408285,0.5189740657806396,BA_none,65,1000,1,50.0,60.0,,,,none,,,,,,0.0,2.0,1.0,0.5,0.9,0.9,10.0,,,,,,,,,,
J60_2.RCP,0,92.72946745562129,0.3827500343322754,BA_tlim,65,1000,0,50.0,60.0,,,,tlim,,,,,,0.0,2.0,1.0,0.5,0.9,0.9,10.0,,,,,,,,,,
J60_2.RCP,1,93.4371597633136,0.37803006172180176,BA_tlim,65,1000,1,50.0,60.0,,,,tlim,,,,,,0.0,2.0,1.0,0.5,0.9,0.9,10.0,,,,,,,,,,
J60_2.RCP,0,106.79100591715978,0.5515389442443848,HS_fixed_random,65,1000,0,,60.0,,,,,,,,,,,,,,,,,50.0,0.9,0.3,2.0,0.1,0.9,1.0,5.0,fixed,random
