instance_id,seed,best_objective,runtime,algorithm_name,param_max_evaluations,param_max_iterations,param_time_limit,param_seed,param_problem_type,param_population_size,param_n_generations,param_crossover_rate,param_mutation_rate,param_tournament_size,param_crossover,param_mutation,param_elitism,param_initial_temperature,param_cooling_rate,param_min_temperature,param_iterations_per_temperature,param_mutation_operator,param_perturbation_strength,param_local_search_operator,param_perturbation_operator,param_acceptance
J30_119.RCP,0,431.1301775147929,5.000258922576904,sa,100000,1000,5.0,0,rlp,,,,,,,,,10000.0,0.995,1.0,100.0,swap,,,,
J30_119.RCP,1,431.1301775147929,5.000715970993042,sa,100000,1000,5.0,1,rlp,,,,,,,,,10000.0,0.995,1.0,100.0,swap,,,,
J30_119.RCP,0,431.1301775147929,5.001475811004639,ils,100000,1000,5.0,0,rlp,,,,,,,,,,,,,,5.0,swap,swap,best
J30_119.RCP,1,431.1301775147929,5.000294923782349,ils,100000,1000,5.0,1,rlp,,,,,,,,,,,,,,5.0,swap,swap,best
J30_12.RCP,0,51.79916753381894,5.050189971923828,ga,100000,1000,5.0,0,rlp,50.0,1000.0,0.8,0.1,3.0,ox1,swap,2.0,,,,,,,,,
J30_12.RCP,1,53.47658688865766,5.025975227355957,ga,100000,1000,5.0,1,rlp,50.0,1000.0,0.8,0.1,3.0,ox1,swap,2.0,,,,,,,,,
J30_12.RCP,0,51.79916753381894,5.000193119049072,sa,100000,1000,5.0,0,rlp,,,,,,,,,10000.0,0.995,1.0,100.0,swap,,,,
J30_12.RCP,1,51.79916753381894,5.000347852706909,sa,100000,1000,5.0,1,rlp,,,,,,,,,10000.0,0.995,1.0,100.0,swap,,,,
J30_12.RCP,0,51.79916753381894,5.000237226486206,ils,100000,1000,5.0,0,rlp,,,,,,,,,,,,,,5.0,swap,swap,best
J30_12.RCP,1,51.79916753381894,5.000342845916748,ils,100000,1000,5.0,1,rlp,,,,,,,,,,,,,,5.0,swap,swap,best
J30_120.RCP,0,425.724838411819,5.047276973724365,ga,100000,1000,5.0,0,rlp,50.0,1000.0,0.8,0.1,3.0,ox1,swap,2.0,,,,,,,,,
J30_120.RCP,1,425.724838411819,5.038128137588501,ga,100000,1000,5.0,1,rlp,50.0,1000.0,0.8,0.1,3.0,ox1,swap,2.0,,,,,,,,,
J30_120.RCP,0,425.724838411819,5.0005269050598145,sa,100000,1000,5.0,0,rlp,,,,,,,,,10000.0,0.995,1.0,100.0,swap,,,,
J30_120.RCP,1,425.724838411819,5.000748157501221,sa,100000,1000,5.0,1,rlp,,,,,,,,,10000.0,0.995,1.0,100.0,swap,,,,
J30_120.RCP,0,425.724838411819,5.001118183135986,ils,100000,1000,5.0,0,rlp,,,,,,,,,,,,,,5.0,swap,swap,best
J30_120.RCP,1,425.724838411819,5.001837253570557,ils,100000,1000,5.0,1,rlp,,,,,,,,,,,,,,5.0,swap,swap,best
J30_121.RCP,0,47.69926486968144,5.059844017028809,ga,100000,1000,5.0,0,rlp,50.0,1000.0,0.8,0.1,3.0,ox1,swap,2.0,,,,,,,,,
J30_121.RCP,1,44.374925609998016,5.03931736946106,ga,100000,1000,5.0,1,rlp,50.0,1000.0,0.8,0.1,3.0,ox1,swap,2.0,,,,,,,,,
J30_121.RCP,0,50.626844444444444,5.00120210647583,sa,100000,1000,5.0,0,rlp,,,,,,,,,10000.0,0.995,1.0,100.0,swap,,,,
J30_121.RCP,1,49.01595045974855,5.0011279582977295,sa,100000,1000,5.0,1,rlp,,,,,,,,,10000.0,0.995,1.0,100.0,swap,,,,
J30_121.RCP,0,42.37626262626263,5.00110387802124,ils,100000,1000,5.0,0,rlp,,,,,,,,,,,,,,5.0,swap,swap,best
J30_121.RCP,1,43.83573964497042,5.001946926116943,ils,100000,1000,5.0,1,rlp,,,,,,,,,,,,,,5.0,swap,swap,best
J30_122.RCP,0,31.398400000000002,5.027935028076172,ga,100000,1000,5.0,0,rlp,50.0,1000.0,0.8,0.1,3.0,ox1,swap,2.0,,,,,,,,,
J30_122.RCP,1,38.81755424063116,5.053337097167969,ga,100000,1000,5.0,1,rlp,50.0,1000.0,0.8,0.1,3.0,ox1,swap,2.0,,,,,,,,,
J30_122.RCP,0,36.260086320135116,5.0003440380096436,sa,100000,1000,5.0,0,rlp,,,,,,,,,10000.0,0.995,1.0,100.0,swap,,,,
J30_122.RCP,1,35.465565772189905,5.001065969467163,sa,100000,1000,5.0,1,rlp,,,,,,,,,10000.0,0.995,1.0,100.0,swap,,,,
J30_122.RCP,0,33.57515481328579,5.002120018005371,ils,100000,1000,5.0,0,rlp,,,,,,,,,,,,,,5.0,swap,swap,best
J30_122.RCP,1,29.559611188256298,5.002690076828003,ils,100000,1000,5.0,1,rlp,,,,,,,,,,,,,,5.0,swap,swap,best
J30_123.RCP,0,39.921904485411524,5.032158851623535,ga,100000,1000,5.0,0,rlp,50.0,1000.0,0.8,0.1,3.0,ox1,swap,2.0,,,,,,,,,
J30_123.RCP,1,36.864418167159364,5.006129026412964,ga,100000,1000,5.0,1,rlp,50.0,1000.0,0.8,0.1,3.0,ox1,swap,2.0,,,,,,,,,
